Date,Open Price,Close Price,High Price,Low Price,Volume
11-Sep-2012,18.92,19.43,19.58,18.85,50508128
12-Sep-2012,20.76,20.93,21.16,20.28,121584000
13-Sep-2012,20.95,20.71,21.48,20.61,65041524
14-Sep-2012,21.13,22.00,22.08,20.90,72819640
17-Sep-2012,22.67,21.52,22.75,21.50,50666448
18-Sep-2012,21.60,21.87,21.98,21.37,36760448
19-Sep-2012,21.99,23.29,23.37,21.77,78782784
20-Sep-2012,23.02,22.59,23.24,22.54,57248664
21-Sep-2012,22.97,22.86,23.24,22.60,51218096
24-Sep-2012,21.78,20.79,21.98,20.36,79105120
25-Sep-2012,21.20,20.28,21.21,20.22,46291656
26-Sep-2012,20.15,20.62,20.78,19.80,38271880
27-Sep-2012,20.99,20.32,21.00,20.16,30215820
28-Sep-2012,20.57,21.66,21.95,20.50,65485920
01-Oct-2012,22.08,21.99,22.59,21.73,51262680
02-Oct-2012,22.08,22.27,22.49,21.82,29341392
03-Oct-2012,22.30,21.83,22.49,21.80,32000080
04-Oct-2012,22.32,21.95,22.40,21.41,46894596
05-Oct-2012,21.49,20.91,21.63,20.88,40529224
08-Oct-2012,20.40,20.40,20.75,20.16,32236628
09-Oct-2012,20.39,20.23,20.55,19.97,27161736
10-Oct-2012,19.93,19.64,19.94,19.45,39321760
11-Oct-2012,19.88,19.75,19.96,19.61,21817228
12-Oct-2012,19.75,19.52,19.80,19.48,18809396
15-Oct-2012,19.68,19.52,19.88,19.49,20189668
16-Oct-2012,19.68,19.48,19.69,19.30,21834688
17-Oct-2012,19.50,19.88,20.48,19.37,44074432
18-Oct-2012,19.70,18.98,19.79,18.89,52157368
19-Oct-2012,19.00,19.00,19.06,18.80,34834948
22-Oct-2012,19.20,19.32,19.43,19.05,32447004
23-Oct-2012,19.25,19.50,19.80,19.10,78381104
24-Oct-2012,24.13,23.23,24.25,22.85,228949136
25-Oct-2012,23.29,22.56,23.31,22.47,76141920
26-Oct-2012,22.40,21.94,22.88,21.88,73259520
31-Oct-2012,20.82,21.11,21.50,20.73,99378184
01-Nov-2012,21.08,21.21,21.44,21.01,37713888
02-Nov-2012,21.26,21.18,21.69,21.07,38344332
05-Nov-2012,21.10,21.25,21.48,20.92,31806692
06-Nov-2012,21.24,21.17,21.37,20.99,29062642
07-Nov-2012,20.85,20.47,20.95,20.37,33396732
08-Nov-2012,20.52,19.99,20.73,19.98,34254536
09-Nov-2012,19.95,19.21,20.00,19.13,42295432
12-Nov-2012,19.15,20.07,20.17,18.87,67349112
13-Nov-2012,19.60,19.86,20.11,19.56,71775072
14-Nov-2012,20.10,22.36,22.50,19.93,229750912
15-Nov-2012,22.34,22.17,22.50,21.65,78857408
16-Nov-2012,22.25,23.56,23.93,22.18,107182168
19-Nov-2012,23.95,22.92,24.12,22.82,85021256
20-Nov-2012,22.73,23.10,23.90,22.70,46655292
21-Nov-2012,23.22,24.32,24.53,23.05,89862344
23-Nov-2012,24.58,24.00,24.68,23.88,29520312
26-Nov-2012,24.93,25.94,26.09,24.81,123862048
27-Nov-2012,26.04,26.15,26.50,25.46,85760072
28-Nov-2012,25.94,26.36,26.49,25.75,49205508
29-Nov-2012,26.50,27.32,27.52,26.16,88759064
30-Nov-2012,27.26,28.00,28.00,26.76,127049544
03-Dec-2012,28.00,27.04,28.88,26.98,123525096
04-Dec-2012,27.06,27.46,27.76,26.68,72912720
05-Dec-2012,27.75,27.71,27.90,27.26,58974840
06-Dec-2012,27.68,26.97,27.75,26.82,46001492
07-Dec-2012,27.07,27.49,27.78,26.84,51751808
10-Dec-2012,27.17,27.84,28.17,27.10,50608464
11-Dec-2012,28.07,27.98,28.24,27.66,77099032
12-Dec-2012,28.00,27.58,28.14,27.37,46704200
13-Dec-2012,27.59,28.24,28.75,27.43,81051552
14-Dec-2012,28.18,26.81,28.33,26.76,91631544
17-Dec-2012,26.77,26.75,27.00,26.32,57742404
18-Dec-2012,26.96,27.71,27.91,26.90,60512872
19-Dec-2012,27.83,27.41,28.22,26.95,61390120
20-Dec-2012,27.49,27.36,27.60,27.13,35574784
21-Dec-2012,26.66,26.26,27.01,26.12,54555184
24-Dec-2012,26.50,26.93,26.96,26.20,28230036
26-Dec-2012,27.03,26.51,27.18,26.38,33175320
27-Dec-2012,26.55,26.05,26.80,25.52,43481680
28-Dec-2012,25.48,25.91,26.11,25.15,56574796
31-Dec-2012,26.20,26.62,26.99,26.11,60374424
02-Jan-2013,27.44,28.00,28.18,27.42,69844976
03-Jan-2013,27.88,27.77,28.47,27.59,63140528
04-Jan-2013,28.01,28.76,28.93,27.83,72715352
07-Jan-2013,28.69,29.42,29.79,28.65,83781728
08-Jan-2013,29.51,29.06,29.60,28.86,45870932
